Gene,B4APH9540922,B4APH9550922,B4APH9500922,B4APH9560922,B4APH9690922,B4AP9010922,B4AP8920922,B4AP9020922,B4AP9530922,B4AP9060922,B4AP9200922,B4AP9480922,B4AP9490922,B4AP9750922,B4AP9400922
Brms1,6.989173075,34.32058072,6.905481875,49.83942457,31.97169802,34.08233901,12.95271178,25.40060089,33.83481009,64.9537439,50.99711189,39.6170003,65.33526952,39.16238991,38.24582857
Brms1l,2964.28303,2807.007496,3130.156284,3014.75498,3103.995139,2103.080801,2870.520203,3085.265844,3142.877915,2974.094152,3073.356559,3342.423762,2863.522359,3092.740959,2805.75648
Brox,3265.691119,3660.861944,3577.039611,3694.479898,3723.332603,3841.280091,3108.650828,4353.48156,3629.723238,3329.371449,3634.32479,3692.721449,3793.529086,3613.818313,3358.196226
Brpf1,1825.921466,2204.837307,1616.869256,1992.516569,1778.539887,1886.557706,1799.430575,1910.488053,2285.729393,1930.897659,1884.811625,1738.977803,1677.278872,1905.902976,1703.001756
Brpf3,1925.517182,1906.352257,2139.712884,1821.79003,2180.469805,2391.778261,2088.375684,1924.095518,2204.901791,1850.197553,2142.919457,1975.637252,2294.901342,2297.526875,2271.377264
Brs3,86.4910168,41.60070391,13.81096375,54.08107772,15.52911046,22.05327818,47.82539735,63.50150223,0,47.23908647,1.040757386,4.170210558,45.93886138,0,45.68251746
Brsk1,15464.41908,18443.67208,17428.44975,17647.39795,16544.89698,17094.29786,16649.21645,15664.91344,16540.52285,15998.30395,15695.66213,14759.41772,19933.38238,20330.71958,18826.50912
Brsk2,8224.509416,9479.760403,8517.418643,9611.586048,9005.057115,9233.306606,8624.513322,9422.715766,9926.757338,9217.526747,9538.541438,8285.165826,8713.070708,10696.77167,9717.62761
Brwd1,6789.107996,6243.225639,5857.821624,6688.026612,6529.534212,6734.269219,5988.138293,6142.409594,6413.576223,6090.889712,6661.888025,6475.294444,6211.954922,6493.341816,5888.795216
Brwd3,1044.007728,1038.97758,1102.904105,1012.694691,1083.383824,1053.545244,841.9262659,1000.602242,1018.803726,1087.483136,901.2958959,896.59527,1176.034851,789.7748631,882.8412096
Bscl2,4195.251138,4083.109089,3175.535165,4175.907531,3842.084624,3385.178201,3334.825103,3823.697598,3765.062478,3773.222032,3722.789168,3947.104293,3446.435467,3224.370102,3613.168416
Bsdc1,3190.557509,3375.897122,2889.450916,3096.406803,2844.567646,2993.231302,3034.920007,3454.481721,3186.111283,2931.775804,2656.012848,2988.998418,3263.700885,3234.1607,3244.521124
Bsg,28570.86588,24506.97467,30052.65712,26665.15256,26543.81717,24180.4171,24385.97084,26297.7864,25400.54382,25227.64047,24596.21929,23417.81739,27569.44201,23593.16423,27974.69883
Bsn,23132.41559,25860.03757,26280.29102,27400.01897,29511.70422,24281.6617,27165.82206,27796.42185,27503.00132,26661.54357,27577.9892,20871.90384,23453.32003,30324.74392,30784.70485
Bsnd,0,0,5.918984464,1.060413289,0,12.02906083,0,0,3.759423343,0,10.40757386,0,0,0,0
Bspry,68.14443748,19.76033436,25.64893268,33.93322524,30.14474384,97.23490835,45.83267246,98.88091061,140.9783754,24.60369087,81.17907607,89.659527,143.9417657,78.32477982,148.7337778
Bst1,30.5776322,36.40061592,23.67593786,28.63115879,74.90512107,73.17678669,22.91633623,27.21492953,13.1579817,26.57198614,77.01604653,26.06381599,32.66763476,45.68945489,20.18529841
