reaction_id,reaction_name,subsystem,genes,minimum,maximum
NDPK6m,"ATP:dUDP phosphotransferase, mitochondria",Nucleotide interconversion,54369;56520,-3.069544618483633e-12,0.0
r2385,Mitochondrial Carrier (MC) TCDB:2.A.29.7.2,"Transport, mitochondrial",13358,0.0,4.092726157978177e-12
Pe13_HSt1e,"Transport of 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe), Vescicular","Transport, extracellular",,0.0,0.0
r1533_1,ATP-Binding Cassette (ABC) Tcdb:3.A.1.208.15,"Transport, extracellular",27416,0.0,0.0
CARN1619Zt_m,(9Z)-hexadecenoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira),"Transport, mitochondrial",,-1000.0,1000.0
r2532,Major Facilitator(MFS) TCDB:2.A.1.44.1,"Transport, extracellular",72401,-1000.0,1000.0
MDHm,Malate dehydrogenase  mitochondrial,Citric acid cycle,17448;17449,-588.0336231923418,-18.787547154887534
SPHMYLN18123_hs_SECt,Transport of Sphingomyelin (D18:1/23:0),"Transport, extracellular",,0.0,0.0
r1756,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
r2338,Major Facilitator(MFS) TCDB:2.A.1.19.1,"Transport, extracellular",20517,-1000.000000000005,1000.0
SK_tmndnc_c,Sink tmndnc[c],Exchange/demand reaction,,0.0,1.375610736431554e-11
r2254,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5,"Transport, extracellular",101488,0.0,1000.0
r0836,Mitochondrial Carrier (MC) TCDB:2.A.29.2.2,"Transport, mitochondrial",27376,-1000.0,1000.0
r1523,ATP-binding Cassette (ABC) TCDB:3.A.1.211.1,"Transport, extracellular",11303,0.0,0.0
r1983,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
FAOXC2251836m,Beta oxidation of fatty acid,Fatty acid oxidation,11409;11364,0.0,0.0
DNDPt42m,DUTP transport via ADP antiport,"Transport, mitochondrial",67283,0.0,2.0836665726164938e-12
PI4PLCn,"Phosphatidylinositol 4-phosphate phospholipase C, nucleus",Inositol phosphate metabolism,18795,0.0,5.115907697472721e-12
EX_ala__L_e,L-Alanine exchange,Exchange/demand reaction,,-100.0,100.0
UREAt5,"Urea, water cotransport","Transport, extracellular",20537,-1000.0,1000.0
C05953t,"Transport of Prostaglandin A2, Lactate Antiport","Transport, extracellular",,-1000.0,1000.0
FAS180COA,Fatty acyl CoA synthase  n C180CoA,Fatty acid synthesis,68801;14104;170439;54326,0.0,0.0
HMR_3106,HMR 3106,"Transport, peroxisomal",,-1000.0,900.0
SO4OXAtex2,Sulfate transport via oxalate countertransport (2:1),"Transport, extracellular",171429,0.0,0.0
HMR_3338,Acyl Coenzyme A Oxidase,Fatty acid oxidation,11430;80911,0.0,2.5579538487363607e-12
r1871,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
r1648,Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1,"Transport, extracellular",20539,-1000.0,1000.0
EX_leuktrD4_e,Leukotriene D4 exchange,Exchange/demand reaction,,99.99999999998639,100.0
HMR_3094,Acyl Coenzyme A Oxidase,Fatty acid oxidation,11430;80911,0.0,0.0
4HGLSDm,L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial,Arginine and proline metabolism,212647,0.0,1000.0000000000025
GGT6,Gamma-glutamyltransferase,Eicosanoid metabolism,,-1000.0,907.1173507896713
r1935,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
MTHFD2m,"Methylenetetrahydrofolate dehydrogenase (NAD), mitochondrial",Folate metabolism,17768,-854.4744008628877,1000.0
r1587,Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1,"Transport, extracellular",20539,-1000.0,1000.0
NDPK1n,"Nucleoside-diphosphate kinase (ATP:GDP), nuclear",Nucleotide interconversion,18102;18103,-1000.0,1000.0
